beat_timing,generate_A_type,A_generate_side,A_generate_amount,generate_B_type,B_generate_side,B_generate_amount,
66,TRUE,"2,4,6,8",1,FALSE,null,null,
67,TRUE,"2,4,6,8",1,FALSE,null,null,
68,TRUE,"2,4,6,8",1,FALSE,null,null,
69,TRUE,"2,4,6,8",1,FALSE,null,null,
70,TRUE,"2,4,6,8",1,FALSE,null,null,
71,TRUE,"2,4,6,8",1,FALSE,null,null,
72,TRUE,"2,4,6,8",1,FALSE,null,null,
73,TRUE,"2,4,6,8",1,FALSE,null,null,
74,TRUE,"2,4,6,8",1,FALSE,null,null,
75,TRUE,"2,4,6,8",1,FALSE,null,null,
76,TRUE,"2,4,6,8",1,FALSE,null,null,
77,TRUE,"2,4,6,8",1,FALSE,null,null,
78,TRUE,"2,4,6,8",1,FALSE,null,null,
79,TRUE,"2,4,6,8",1,FALSE,null,null,
80,TRUE,"2,4,6,8",1,FALSE,null,null,
81,TRUE,"2,4,6,8",1,FALSE,null,null,
82,TRUE,"2,4,6,8",1,FALSE,null,null,
83,TRUE,"2,4,6,8",1,FALSE,null,null,
84,TRUE,"2,4,6,8",1,FALSE,null,null,
85,TRUE,"2,4,6,8",1,FALSE,null,null,
86,TRUE,"2,4,6,8",1,FALSE,null,null,
87,TRUE,"2,4,6,8",1,FALSE,null,null,
88,TRUE,"2,4,6,8",1,FALSE,null,null,
89,TRUE,"2,4,6,8",1,FALSE,null,null,
90,TRUE,"2,4,6,8",1,FALSE,null,null,
91,TRUE,"2,4,6,8",1,FALSE,null,null,
92,TRUE,"2,4,6,8",1,FALSE,null,null,
93,TRUE,"2,4,6,8",1,FALSE,null,null,
94,TRUE,"2,4,6,8",1,FALSE,null,null,
95,TRUE,"2,4,6,8",1,FALSE,null,null,
96,TRUE,"2,4,6,8",1,FALSE,null,null,
97,TRUE,"2,4,6,8",1,FALSE,null,null,
98,TRUE,"2,4,6,8",1,FALSE,null,null,
99,TRUE,"2,4,6,8",1,FALSE,null,null,
100,TRUE,"2,4,6,8",1,FALSE,null,null,
101,TRUE,"2,4,6,8",1,FALSE,null,null,
102,TRUE,"2,4,6,8",1,FALSE,null,null,
103,TRUE,"2,4,6,8",1,FALSE,null,null,
104,TRUE,"2,4,6,8",1,FALSE,null,null,
105,TRUE,"2,4,6,8",1,FALSE,null,null,
106,TRUE,"2,4,6,8",1,FALSE,null,null,
107,TRUE,"2,4,6,8",1,FALSE,null,null,
108,TRUE,"2,4,6,8",1,FALSE,null,null,
109,TRUE,"2,4,6,8",1,FALSE,null,null,
110,TRUE,"2,4,6,8",1,FALSE,null,null,
111,TRUE,"2,4,6,8",1,FALSE,null,null,
112,TRUE,"2,4,6,8",1,FALSE,null,null,
113,TRUE,"2,4,6,8",1,FALSE,null,null,
114,TRUE,"2,4,6,8",1,FALSE,null,null,
115,TRUE,"2,4,6,8",1,FALSE,null,null,
116,TRUE,"2,4,6,8",1,FALSE,null,null,
117,TRUE,"2,4,6,8",1,FALSE,null,null,
118,TRUE,"2,4,6,8",1,FALSE,null,null,
119,TRUE,"2,4,6,8",1,FALSE,null,null,
120,TRUE,"2,4,6,8",1,FALSE,null,null,
121,TRUE,"2,4,6,8",1,FALSE,null,null,
